english,hindi,punjabi
we built a translation system at university.,हम एक अनुवाद प्रणाली बनाया विश्वविद्यालय में।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student will learn a project quickly.,छात्र एक परियोजना सीखूँगा जल्दी।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਾਂਗਾ ਜਲਦੀ।
we wrote artificial intelligence today.,हम कृत्रिम बुद्धिमत्ता लिखा आज।,ਅਸੀਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖਿਆ ਅੱਜ।
we will read data science quickly.,हम डेटा साइंस पढ़ूँगा जल्दी।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਂਗਾ ਜਲਦੀ।
my friend wrote machine learning at university.,मेरा दोस्त मशीन लर्निंग लिखा विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she read a translation system at university.,वह एक अनुवाद प्रणाली पढ़ा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend am reading a book at university.,मेरा दोस्त एक किताब पढ़ रहा हूँ विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she am reading a translation system today.,वह एक अनुवाद प्रणाली पढ़ रहा हूँ आज।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਅੱਜ।
he wrote machine learning carefully.,वह मशीन लर्निंग लिखा ध्यान से।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਿਆ ਧਿਆਨ ਨਾਲ।
my friend will study data science at home.,मेरा दोस्त डेटा साइंस अध्ययन करूँगा घर पर।,ਮੇਰਾ ਦੋਸਤ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕਰਾਂਗਾ ਘਰ ਵਿੱਚ।
they am reading the lesson quickly.,वे पाठ पढ़ रहा हूँ जल्दी।,ਉਹ ਪਾਠ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
the student built a translation system tomorrow.,छात्र एक अनुवाद प्रणाली बनाया कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਕੱਲ੍ਹ।
we will learn machine learning quickly.,हम मशीन लर्निंग सीखूँगा जल्दी।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਾਂਗਾ ਜਲਦੀ।
my friend will build a translation system at home.,मेरा दोस्त एक अनुवाद प्रणाली बनाऊँगा घर पर।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਂਗਾ ਘਰ ਵਿੱਚ।
he will read the lesson tomorrow.,वह पाठ पढ़ूँगा कल।,ਉਹ ਪਾਠ ਪੜ੍ਹਾਂਗਾ ਕੱਲ੍ਹ।
the teacher studied machine learning tomorrow.,शिक्षक मशीन लर्निंग अध्ययन किया कल।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਕੱਲ੍ਹ।
they am studying machine learning carefully.,वे मशीन लर्निंग पढ़ाई कर रहा हूँ ध्यान से।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
we read a project quickly.,हम एक परियोजना पढ़ा जल्दी।,ਅਸੀਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਿਆ ਜਲਦੀ।
my friend will read data science quickly.,मेरा दोस्त डेटा साइंस पढ़ूँगा जल्दी।,ਮੇਰਾ ਦੋਸਤ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਂਗਾ ਜਲਦੀ।
she read data science quickly.,वह डेटा साइंस पढ़ा जल्दी।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਿਆ ਜਲਦੀ।
they wrote a project at university.,वे एक परियोजना लिखा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they wrote the lesson today.,वे पाठ लिखा आज।,ਉਹ ਪਾਠ ਲਿਖਿਆ ਅੱਜ।
the teacher will read a book at university.,शिक्षक एक किताब पढ़ूँगा विश्वविद्यालय में।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she am studying a project at home.,वह एक परियोजना पढ़ाई कर रहा हूँ घर पर।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
my friend will study a translation system today.,मेरा दोस्त एक अनुवाद प्रणाली अध्ययन करूँगा आज।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਅੱਜ।
the teacher am learning artificial intelligence quickly.,शिक्षक कृत्रिम बुद्धिमत्ता सीख रहा हूँ जल्दी।,ਅਧਿਆਪक ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
we read machine learning at university.,हम मशीन लर्निंग पढ़ा विश्वविद्यालय में।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he am building the lesson carefully.,वह पाठ बना रहा हूँ ध्यान से।,ਉਹ ਪਾਠ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
she will read the lesson at home.,वह पाठ पढ़ूँगा घर पर।,ਉਹ ਪਾਠ ਪੜ੍ਹਾਂਗਾ ਘਰ ਵਿੱਚ।
the student built a translation system today.,छात्र एक अनुवाद प्रणाली बनाया आज।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਅੱਜ।
the student will write a project at home.,छात्र एक परियोजना लिखूँगा घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਾਂਗਾ ਘਰ ਵਿੱਚ।
they am building the lesson carefully.,वे पाठ बना रहा हूँ ध्यान से।,ਉਹ ਪਾਠ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
she wrote a book quickly.,वह एक किताब लिखा जल्दी।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਲਿਖਿਆ ਜਲਦੀ।
my friend will write machine learning at home.,मेरा दोस्त मशीन लर्निंग लिखूँगा घर पर।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਾਂਗਾ ਘਰ ਵਿੱਚ।
she learned the lesson at university.,वह पाठ सीखा विश्वविद्यालय में।,ਉਹ ਪਾਠ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i wrote artificial intelligence at university.,मैं कृत्रिम बुद्धिमत्ता लिखा विश्वविद्यालय में।,ਮੈਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student am building a project carefully.,छात्र एक परियोजना बना रहा हूँ ध्यान से।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the teacher am learning artificial intelligence today.,शिक्षक कृत्रिम बुद्धिमत्ता सीख रहा हूँ आज।,ਅਧਿਆਪक ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
she built artificial intelligence carefully.,वह कृत्रिम बुद्धिमत्ता बनाया ध्यान से।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਇਆ ਧਿਆਨ ਨਾਲ।
the student built a book at home.,छात्र एक किताब बनाया घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਬਣਾਇਆ ਘਰ ਵਿੱਚ।
my friend will read artificial intelligence tomorrow.,मेरा दोस्त कृत्रिम बुद्धिमत्ता पढ़ूँगा कल।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹਾਂਗਾ ਕੱਲ੍ਹ।
they will read a book at university.,वे एक किताब पढ़ूँगा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we am studying machine learning quickly.,हम मशीन लर्निंग पढ़ाई कर रहा हूँ जल्दी।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
my friend am reading the lesson at university.,मेरा दोस्त पाठ पढ़ रहा हूँ विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਪਾਠ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he will study artificial intelligence quickly.,वह कृत्रिम बुद्धिमत्ता अध्ययन करूँगा जल्दी।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਜਲਦੀ।
we am building a translation system at university.,हम एक अनुवाद प्रणाली बना रहा हूँ विश्वविद्यालय में।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we built machine learning today.,हम मशीन लर्निंग बनाया आज।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਬਣਾਇਆ ਅੱਜ।
the student will build a project tomorrow.,छात्र एक परियोजना बनाऊँगा कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾਂਗਾ ਕੱਲ੍ਹ।
the student studied a book today.,छात्र एक किताब अध्ययन किया आज।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕੀਤਾ ਅੱਜ।
we read machine learning carefully.,हम मशीन लर्निंग पढ़ा ध्यान से।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਧਿਆਨ ਨਾਲ।
they learned data science at university.,वे डेटा साइंस सीखा विश्वविद्यालय में।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we am building data science carefully.,हम डेटा साइंस बना रहा हूँ ध्यान से।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
the student am learning a translation system at university.,छात्र एक अनुवाद प्रणाली सीख रहा हूँ विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student am studying a book at university.,छात्र एक किताब पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
we will learn a book at home.,हम एक किताब सीखूँगा घर पर।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਾਂਗਾ ਘਰ ਵਿੱਚ।
he studied a book tomorrow.,वह एक किताब अध्ययन किया कल।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕੀਤਾ ਕੱਲ੍ਹ।
the teacher studied the lesson at home.,शिक्षक पाठ अध्ययन किया घर पर।,ਅਧਿਆਪक ਪਾਠ ਅਧਿਐਨ ਕੀਤਾ ਘਰ ਵਿੱਚ।
she am building artificial intelligence carefully.,वह कृत्रिम बुद्धिमत्ता बना रहा हूँ ध्यान से।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
my friend am reading data science at university.,मेरा दोस्त डेटा साइंस पढ़ रहा हूँ विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she learned data science tomorrow.,वह डेटा साइंस सीखा कल।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਿਆ ਕੱਲ੍ਹ।
the teacher will write machine learning quickly.,शिक्षक मशीन लर्निंग लिखूँगा जल्दी।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਾਂਗਾ ਜਲਦੀ।
my friend will write data science at home.,मेरा दोस्त डेटा साइंस लिखूँगा घर पर।,ਮੇਰਾ ਦੋਸਤ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਾਂਗਾ ਘਰ ਵਿੱਚ।
the teacher will study a book at university.,शिक्षक एक किताब अध्ययन करूँगा विश्वविद्यालय में।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕਰਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she will build a translation system today.,वह एक अनुवाद प्रणाली बनाऊँगा आज।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਂਗਾ ਅੱਜ।
my friend am studying machine learning tomorrow.,मेरा दोस्त मशीन लर्निंग पढ़ाई कर रहा हूँ कल।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
the teacher will learn machine learning tomorrow.,शिक्षक मशीन लर्निंग सीखूँगा कल।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਾਂਗਾ ਕੱਲ੍ਹ।
the student am writing a book tomorrow.,छात्र एक किताब लिख रहा हूँ कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਲਿਖ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
i built the lesson carefully.,मैं पाठ बनाया ध्यान से।,ਮੈਂ ਪਾਠ ਬਣਾਇਆ ਧਿਆਨ ਨਾਲ।
the teacher will read artificial intelligence at home.,शिक्षक कृत्रिम बुद्धिमत्ता पढ़ूँगा घर पर।,ਅਧਿਆਪक ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹਾਂਗਾ ਘਰ ਵਿੱਚ।
my friend will learn a book at university.,मेरा दोस्त एक किताब सीखूँगा विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student am studying data science carefully.,छात्र डेटा साइंस पढ़ाई कर रहा हूँ ध्यान से।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
he read a translation system today.,वह एक अनुवाद प्रणाली पढ़ा आज।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਿਆ ਅੱਜ।
the teacher will study a project today.,शिक्षक एक परियोजना अध्ययन करूँगा आज।,ਅਧਿਆਪक ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਅਧਿਐਨ ਕਰਾਂਗਾ ਅੱਜ।
